Time(sec), Time(n_sec), robot_x, robot_y, robot_z, robot_roll, robot_pitch, robot_yaw, cam_in_robot_x, cam_in_robot_y, cam_in_robot_z, cam_in_robot_roll, cam_in_robot_pitch, cam_in_robot_yaw, cam_in_world_x, cam_in_world_y, cam_in_world_z, cam_in_world_roll, cam_in_world_pitch, cam_in_world_yaw
1649827453,0, 0.209624, 0.131656, -0.000698, -0.015708, 0.064577, 0.870919, 0.100000, 0.000000, 0.000000, 0.015708, -0.064577, 0.000000, 0.273902, 0.207988, -0.007151, 0.000033, 0.000008, 0.871933
1649827453,0, 0.209624, 0.131656, -0.000698, -0.015708, 0.064577, 0.870919, 0.100000, 0.000000, 0.000000, 0.015708, -0.064577, 0.000000, 0.273902, 0.207988, -0.007151, 0.000033, 0.000008, 0.871933
1649827453,100000000, 0.228847, 0.147602, -0.000762, -0.024435, 0.015708, 0.872665, 0.100000, 0.000000, 0.000000, 0.024435, -0.015708, 0.000000, 0.293117, 0.224197, -0.002333, 0.000003, 0.000005, 0.873048
1649827453,200000000, 0.248211, 0.165503, 0.099174, -0.015708, -0.013963, 0.872665, 0.100000, 0.000000, 0.000000, 0.015708, 0.013963, -0.000000, 0.312483, 0.242100, 0.100570, 0.000002, -0.000002, 0.872445
1649827453,300000000, 0.255348, 0.168088, 0.199151, 0.000000, -0.038397, 0.874410, 0.100000, 0.000000, 0.000000, 0.000000, 0.038397, 0.000000, 0.319446, 0.244748, 0.202990, 0.000000, -0.000000, 0.874410
1649827453,400000000, 0.269349, 0.177415, 0.299105, 0.005236, -0.038397, 0.876155, 0.100000, 0.000000, 0.000000, -0.005236, 0.038397, 0.000000, 0.333313, 0.254187, 0.302943, -0.000004, -0.000001, 0.876356
1649827453,500000000, 0.304689, 0.204959, 0.398988, 0.001745, -0.026180, 0.877901, 0.100000, 0.000000, 0.000000, -0.001745, 0.026180, 0.000000, 0.368544, 0.281872, 0.401605, -0.000001, -0.000000, 0.877946
1649827453,600000000, 0.317352, 0.210530, 0.498946, 0.003491, -0.015708, 0.877901, 0.100000, 0.000000, 0.000000, -0.003491, 0.015708, -0.000000, 0.381221, 0.287461, 0.500517, -0.000000, -0.000000, 0.877955
1649827453,700000000, 0.236132, 0.266491, 0.599217, 0.003491, -0.005236, 0.879646, 0.100000, 0.000000, 0.000000, -0.003491, 0.005236, 0.000000, 0.299874, 0.343541, 0.599741, -0.000000, -0.000000, 0.879664
1649827453,800000000, 0.238932, 0.274371, 0.799209, 0.005236, 0.000000, 0.881391, 0.100000, 0.000000, 0.000000, -0.005236, 0.000000, 0.000000, 0.302540, 0.351534, 0.799209, -0.000000, -0.000000, 0.881391
1649827453,900000000, 0.287525, 0.252331, 0.999048, 0.005236, 0.005236, 0.881391, 0.100000, 0.000000, 0.000000, -0.005236, -0.005236, 0.000000, 0.351132, 0.329492, 0.998524, -0.000000, 0.000000, 0.881364
1649827454,0, 0.293336, 0.258128, 1.299030, 0.008727, 0.003491, 0.881391, 0.100000, 0.000000, 0.000000, -0.008727, -0.003491, -0.000000, 0.356944, 0.335290, 1.298681, -0.000000, 0.000000, 0.881361
1649827454,100000000, 0.396698, 0.265915, 1.498687, 0.010472, -0.000000, 0.881391, 0.100000, 0.000000, 0.000000, -0.010472, 0.000000, 0.000000, 0.460306, 0.343077, 1.498687, 0.000000, -0.000000, 0.881391
1649827454,200000000, 0.409215, 0.272132, 1.698647, 0.010472, -0.000000, 0.881391, 0.100000, 0.000000, 0.000000, -0.010472, 0.000000, 0.000000, 0.472822, 0.349294, 1.698647, 0.000000, -0.000000, 0.881391
1649827454,300000000, 0.483301, 0.272242, 1.898401, 0.008727, -0.000000, 0.881391, 0.100000, 0.000000, 0.000000, -0.008727, 0.000000, 0.000000, 0.546908, 0.349404, 1.898401, 0.000000, -0.000000, 0.881391
1649827454,400000000, 0.500651, 0.277743, 2.098344, 0.008727, 0.001745, 0.881391, 0.100000, 0.000000, 0.000000, -0.008727, -0.001745, 0.000000, 0.564259, 0.354905, 2.098170, -0.000000, 0.000000, 0.881376
1649827454,500000000, 0.514649, 0.276981, 2.198298, 0.006981, 0.005236, 0.881391, 0.100000, 0.000000, 0.000000, -0.006981, -0.005236, -0.000000, 0.578256, 0.354142, 2.197775, -0.000000, 0.000000, 0.881355
1649827454,600000000, 0.531536, 0.281832, 2.298243, 0.006981, 0.006981, 0.881391, 0.100000, 0.000000, 0.000000, -0.006981, -0.006981, -0.000000, 0.595142, 0.358992, 2.297545, -0.000000, 0.000000, 0.881343
